Grid,Answer,Enumeration,Reversed,Surface,Parse
324,OSTRAVA,7,yes,Piece of Yugoslav art somehow reflected Czech city,17. ←(.l)AV ART SO(m.)← = OSTRAVA <Czech city>
325,TOGA,4,,Dress used in panto gag,1. <dress> TOGA = (.n)TO GA(g.)
328,IMPERSONATING,13,,Whimpers on at ingenuous hosts at a masquerade?,1. (.h)IMPERS ON AT ING(e.) = IMPERSONATING <at a masquerade?>
329,TRICKSTER,9,,Mischievous figure taking some of Patrick's teriyaki,3. <mischievous figure> TRICKSTER = (.a)TRICK'S TER(i.)
330,ADZE,4,,Woodworking tool guarded by grandad zealously,5. <woodworking tool> ADZE = (.d)AD ZE(a.)
331,SONATA,6,,Piece going into unison at Allegro,5. <piece> SONATA = (.i)SON AT A(l.)
334,IZMIR,5,yes,"Pilgrim, zigzagging around, comes across coastal city in Turkey",7. ←(.g)RIM ZI(g.)← = IZMIR <coastal city in Turkey>
335,EIDALFITR,"3,2-4",yes,Festival put in effort if ladies tipped,4. <festival> EID AL-FITR = ←(.o)RT IF LADIE(s.)←
335,REPRIMANDING,12,,"Dressing down here, prim and in generic clothes",25. <dressing down> REPRIMANDING = (.e)RE PRIM AND IN G(e.)
337,SQUEAL,6,,Sing part of Bowie-esque album,2. <sing> SQUEAL = (.e)SQUE AL(b.)
337,ZODIAC,6,yes,Gemini etc contributing to agentic AI dozens brought about,22. <Gemini etc> ZODIAC = ←(.i)C AI DOZ(e.)←
339,SINCERE,7,,Genuine duchess in ceremonial clothes,26. <genuine> SINCERE = (.s)S IN CERE(m.)
340,TESLA,5,,Car manufacturer innovates larger frames,22. <car manufacturer> TESLA = (.a)TES LA(r.)
